,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Divnomorskoye,RU,1563417292,44.5,38.13,71.87,63,62,16.17
1,Atuona,PF,1563417035,-9.8,-139.03,80.33,69,0,11.27
2,Bone,DE,1563417293,51.97,12.14,53.94,87,0,5.82
3,Punta Arenas,CL,1563417293,-53.16,-70.91,28.18,100,0,8.05
4,Albany,US,1563417043,42.65,-73.75,70.36,88,75,4.7
5,Ilulissat,GL,1563417294,69.22,-51.1,46.4,81,100,9.06
6,Yichang,CN,1563417294,30.77,111.32,72.59,98,100,2.82
7,Katsuura,JP,1563417042,33.93,134.5,80.69,94,75,16.11
8,Erenhot,CN,1563417295,43.65,111.97,83.39,35,8,10.0
9,Carolina,PR,1563417169,18.38,-65.96,77.85,74,20,6.93
10,Castro,CL,1563417295,-42.48,-73.76,42.8,87,40,11.41
11,Dikson,RU,1563417296,73.51,80.55,46.85,64,73,7.81
12,Kaputa,ZM,1563417296,-8.47,29.66,58.19,64,0,5.53
13,Qaanaaq,GL,1563417297,77.48,-69.36,42.53,55,0,4.5
14,Jamestown,AU,1563417297,-33.21,138.6,53.51,70,58,13.02
15,Flinders,AU,1563417297,-34.58,150.85,63.32,36,0,16.11
16,Hobart,AU,1563417297,-42.88,147.33,51.78,53,75,14.99
17,Kombissiri,BF,1563417298,12.07,-1.34,78.8,88,0,4.7
18,Hithadhoo,MV,1563417298,-0.6,73.08,83.39,70,99,14.12
19,Cherskiy,RU,1563417298,68.75,161.3,45.77,50,94,8.9
20,East London,ZA,1563417060,-33.02,27.91,57.29,28,67,4.7
21,Plettenberg Bay,ZA,1563417299,-34.05,23.37,57.47,42,57,4.43
22,Busselton,AU,1563417299,-33.64,115.35,60.28,60,100,8.12
23,Jaisinghnagar,IN,1563417299,23.63,78.57,86.09,53,0,13.69
24,Mareeba,AU,1563417056,-16.99,145.42,73.2,44,20,16.11
25,Cape Town,ZA,1563417011,-33.93,18.42,57.36,87,75,17.22
26,Vaini,IN,1563417300,15.34,74.49,73.4,88,40,3.36
27,Bethlehem,US,1563417301,40.62,-75.38,72.75,88,90,3.36
28,Nikel,NO,1563417301,69.41,30.21,44.6,87,40,6.93
